ConditionalTree,M5P,Cubist,SVMR,LARS,MARS
0.03,0.023862548,0.036304317,0.123076156,0.161003099,0.059971064
0.08,0.073862548,0.086304317,0.162350548,0.219578398,0.109971064
-0.01,-0.016137452,-0.003695683,0.057669152,0.090808283,0.019971064
-0.044166667,0.063862548,0.005634904,-0.034710966,-0.012551345,-0.132548218
-0.03,-0.036137452,-0.023695683,0.075490611,0.132893508,-2.89E-05
0.03,0.023862548,0.036304317,0.128292395,0.18865525,0.059971064
-0.04,-0.046137452,-0.033695683,0.026245008,0.119831622,-0.010028936
0.031842105,0.008672077,0.03440625,-0.011992229,0.00647784,0.021836623
-0.02,0.008672077,0.026406233,-0.06618523,-0.098976662,-0.048116208
0.071842105,0.048672077,0.066406233,-0.049725755,-0.053906839,-0.053876509
-0.206,0.018672077,0.003406241,0.031801819,-0.196765044,-0.113127424
-0.048157895,-0.071327923,-0.044593763,-0.100444944,-0.056551827,-0.058163377
-0.154166667,0.018672077,0.02740623,0.010114466,-0.197076605,-0.113009711
-0.127883333,0.028672077,0.051406229,-0.155765622,-0.013298644,0.041836623
-0.006428571,-0.070514411,-0.015300152,-0.058362663,-0.099868275,-0.029782157
-0.046428571,-0.110514411,-0.055300152,-0.026191035,-0.113086387,-0.069782157
-0.026428571,-0.090514411,-0.050300138,-0.090917486,-0.18065589,-0.132272633
-0.046428571,-0.110514411,-0.055300152,-0.117680238,-0.113775863,-0.069782157
-0.088222222,-0.085751341,0.053167779,-0.074949854,-0.124693676,0.023969186
-0.024888889,-0.022144101,-0.003338854,-0.005208695,0.007594551,0.024884638
0.035111111,0.037855899,0.056661146,0.006308655,0.030379198,0.084884638
0.165111111,0.167855899,-0.027338841,0.114205042,0.067966515,0.099171506
0.055111111,0.057855899,0.076661146,0.071126337,0.063061253,0.104884638
-0.044888889,-0.042144101,-0.023338854,-0.048895447,-0.025367948,0.004884638
-0.03,-0.060857303,0.002000062,-0.036644983,-0.048188087,0.003579532
0.036956522,-0.070857303,0.010000069,-0.013023167,-0.039801234,-0.006420468
-0.073043478,-0.180857303,-0.099999931,-0.11163347,-0.141406199,-0.116420468
0.015833333,0.219142697,0.021998492,0.048510593,0.028069023,0.049384808
-0.023043478,-0.130857303,-0.049999931,-0.092146622,-0.080724382,-0.066420468
0.088181818,0.062404207,0.105722671,0.042255106,0.05725606,0.15653478
0.038181818,0.012404207,0.034722643,-0.089658018,-0.083317064,-0.009178352
0.088181818,0.062404207,0.105722671,0.024619841,0.075642914,0.15653478
-0.051818182,-0.077595793,-0.034277329,-0.026335144,-0.056651527,0.01653478
-0.011,-0.01522404,-0.010000048,-0.111954277,-0.117540426,-0.095729674
-0.04,0.20477596,0.099999998,-0.006572654,-0.002994927,0.010880851
